Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Income_Value,Marital_Status_Married,Marital_Status_Single,Marital_Status_Unknown,Card_Category_Gold,Card_Category_Platinum,Card_Category_Silver,Avg_Transaction_Value,Engagement_Score,Credit_Pressure,High_Credit_Flag,Tenure_Group,Trans_Freq_Group,High_Contact_Flag,Stability_Score
0,45,1,3,2.0,39,5,1,3,12691.0,777,11914.0,1.335,1.625,0.061,70000.0,1,0,0,0,0,0,27.238095238095237,46,0.061224489795918366,1,1,0,1,1.48
0,49,0,5,4.0,44,6,1,2,8256.0,864,7392.0,1.541,3.714,0.105,30000.0,0,1,0,0,0,0,39.121212121212125,38,0.10465116279069768,1,1,0,0,2.6275
0,51,1,3,4.0,36,4,1,0,3418.0,0,3418.0,2.594,2.333,0.0,100000.0,1,0,0,0,0,0,94.35,23,0.0,0,1,0,0,2.4635
0,40,0,4,2.0,34,3,4,1,3313.0,2517,796.0,1.405,2.333,0.76,30000.0,0,0,1,0,0,0,58.55,19,0.7597343797162692,0,1,0,0,1.8690000000000002
0,40,1,3,1.0,21,5,1,0,4716.0,0,4716.0,2.175,2.5,0.0,70000.0,1,0,0,0,0,0,29.142857142857142,32,0.0,1,0,0,0,2.3375
0,44,1,2,4.0,36,3,1,2,4010.0,1247,2763.0,1.376,0.846,0.311,50000.0,1,0,0,0,0,0,45.333333333333336,26,0.3109725685785536,0,1,0,0,1.111
0,51,1,4,3.0,46,6,1,3,34516.0,2264,32252.0,1.975,0.722,0.066,130000.0,1,0,0,1,0,0,42.903225806451616,36,0.06559276857109746,1,1,0,1,1.3485
0,32,1,0,2.0,27,2,2,2,29081.0,1396,27685.0,2.204,0.714,0.048,70000.0,0,0,1,0,0,1,42.72222222222222,36,0.0480038513118531,1,1,0,0,1.459
0,37,1,3,1.0,36,5,2,0,22352.0,2517,19835.0,3.355,1.182,0.113,70000.0,0,1,0,0,0,0,56.25,27,0.11260737294201861,1,1,0,0,2.2685
0,48,1,2,4.0,36,6,3,3,11656.0,1677,9979.0,1.524,0.882,0.144,100000.0,0,1,0,0,0,0,45.03125,35,0.14387439945092656,1,1,0,1,1.203
0,42,1,5,1.0,31,5,3,2,6748.0,1467,5281.0,0.831,0.68,0.217,130000.0,0,0,1,0,0,0,28.595238095238095,44,0.21739774748073504,1,1,0,0,0.7555000000000001
0,65,1,1,3.0,54,6,2,3,9095.0,1587,7508.0,1.433,1.364,0.174,50000.0,1,0,0,0,0,0,50.53846153846154,30,0.17449147883452445,1,2,0,1,1.3985
0,56,1,1,3.0,36,3,6,0,11751.0,0,11751.0,3.397,3.25,0.0,100000.0,0,1,0,0,0,0,90.52941176470588,14,0.0,1,1,0,0,3.3235
0,35,1,3,4.0,30,5,1,3,8547.0,1666,6881.0,1.163,2.0,0.195,70000.0,0,0,1,0,0,0,39.72727272727273,37,0.19492219492219492,1,1,0,1,1.5815000000000001
0,57,0,2,4.0,48,5,2,2,2436.0,680,1756.0,1.19,0.611,0.279,30000.0,1,0,0,0,0,0,54.13793103448276,32,0.2791461412151067,0,1,0,0,0.9005
0,44,1,4,3.0,37,5,1,2,4234.0,972,3262.0,1.707,1.7,0.23,100000.0,0,0,1,0,0,0,49.925925925925924,31,0.2295701464336325,0,1,0,0,1.7035
0,48,1,4,5.0,36,6,2,3,30367.0,2362,28005.0,1.708,0.929,0.078,100000.0,0,1,0,0,0,0,61.888888888888886,31,0.07778180261468041,1,1,0,1,1.3185
0,41,1,3,3.0,34,4,4,1,13535.0,1291,12244.0,0.653,1.625,0.095,100000.0,1,0,0,0,0,0,48.95238095238095,21,0.095382342076099,1,1,0,0,1.139
0,61,1,1,2.0,56,2,2,3,3193.0,2517,676.0,1.831,1.143,0.788,50000.0,1,0,0,0,0,0,44.53333333333333,30,0.7882868775446289,0,2,0,1,1.487
0,45,0,2,4.0,37,6,1,2,14470.0,1157,13313.0,0.966,0.909,0.08,50000.0,1,0,0,0,0,0,57.476190476190474,26,0.07995853489979267,1,1,0,0,0.9375
0,47,1,1,6.0,42,5,2,0,20979.0,1800,19179.0,0.906,0.929,0.086,70000.0,0,0,0,0,0,0,43.629629629629626,30,0.0858000858000858,1,1,0,0,0.9175
1,62,0,0,4.0,49,2,3,3,1438.3,0,1438.3,1.047,0.6,0.0,30000.0,1,0,0,0,0,0,43.25,15,0.0,0,2,0,1,0.8234999999999999
